District,State,Area_km2,Population
Kanker (Uttar Bastar Kanker),#N/A,7161.00,2741239.00
Kannauj,Uttar Pradesh,2093.00,2741239.00
Kanniyakumari,Tamil Nadu,1684.00,2741239.00
Kannur,Kerala,2961.00,2741239.00
Kanpur Dehat,#N/A,3021.00,2741239.00
Kanpur Nagar,Uttar Pradesh,3155.00,2741239.00
Kanshiram Nagar,Uttar Pradesh,1955.00,2741239.00
Kapurthala,Punjab,1633.00,2741239.00
Karaikal,Puducherry,157.00,2741239.00
Karauli,Rajasthan,5524.00,2741239.00
Karbi Anglong,Assam,10434.00,2741239.00
Kargil,Jammu and Kashmir,14036.00,2741239.00
Karimganj,Assam,1809.00,2741239.00
Karimnagar,Andhra Pradesh,11823.00,2741239.00
Karnal,Haryana,2520.00,2741239.00
Karur,Tamil Nadu,2904.00,2741239.00
Kasaragod,Kerala,1989.00,2741239.00
Kathua,Jammu and Kashmir,2502.00,2741239.00
Katihar,Bihar,3057.00,2741239.00
Katni,Madhya Pradesh,4950.00,2741239.00
Kaushambi,Uttar Pradesh,1779.00,2741239.00
Kendrapara,Orissa,2644.00,2741239.00
Kendujhar,Orissa,8303.00,2741239.00
Khagaria,Bihar,1486.00,2741239.00
Khammam,Andhra Pradesh,16029.00,2741239.00
Khandwa,#N/A,7352.00,2741239.00
Khargone,#N/A,8025.00,2741239.00
Kheda,Gujarat,3953.00,2741239.00
Kheri,Uttar Pradesh,7680.00,2741239.00
Khordha,Orissa,2813.00,2741239.00
Khunti,Jharkhand,2535.00,2741239.00
Kinnaur,Himachal Pradesh,6401.00,2741239.00
Kiphire,Nagaland,1130.00,2741239.00
Kishanganj,Bihar,1884.00,2741239.00
Kishtwar,Jammu and Kashmir,1644.00,2741239.00
Koch Bihar,West Bengal,3387.00,2741239.00
Kodagu,Karnataka,4102.00,2741239.00
Kodarma,Jharkhand,2540.00,2741239.00
Kohima,Nagaland,1463.00,2741239.00
Kokrajhar,Assam,3296.00,2741239.00
Kolar,Karnataka,3979.00,2741239.00
Kolasib,Mizoram,1382.00,2741239.00
Kolhapur,Maharashtra,7685.00,2741239.00
Kolkata,West Bengal,185.00,2741239.00
Kollam,Kerala,2483.00,2741239.00
Koppal,Karnataka,5570.00,2741239.00
Koraput,Orissa,8807.00,2741239.00
Korba,Chhattisgarh,6598.00,2741239.00
Koriya,#N/A,6604.00,2741239.00
Kota,Rajasthan,5217.00,2741239.00
Kottayam,Kerala,2206.00,2741239.00
Kozhikode,Kerala,2345.00,2741239.00
Krishna,Andhra Pradesh,8727.00,2741239.00
Krishnagiri,Tamil Nadu,5129.00,2741239.00
Kulgam,Jammu and Kashmir,410.00,2741239.00
Kullu,Himachal Pradesh,5503.00,2741239.00
Kupwara,Jammu and Kashmir,2379.00,2741239.00
Kurnool,Andhra Pradesh,17658.00,2741239.00
Kurukshetra,Haryana,1530.00,2741239.00
Kurung Kumey,Arunachal Pradesh,6040.00,2741239.00
Kushinagar,Uttar Pradesh,2905.00,2741239.00
Lahul & Spiti,#N/A,13841.00,2741239.00
Lakhimpur,Assam,2277.00,2741239.00
Lakhisarai,Bihar,1228.00,2741239.00
Lakshadweep,Lakshadweep,30.00,2741239.00
Lalitpur,Uttar Pradesh,5039.00,2741239.00
Latehar,Jharkhand,4291.00,2741239.00
Latur,Maharashtra,7157.00,2741239.00
Lawngtlai,Mizoram,2557.00,2741239.00
Leh,Jammu and Kashmir,45110.00,2741239.00
Lohardaga,Jharkhand,1502.00,2741239.00
Lohit,Arunachal Pradesh,5212.00,2741239.00
Longleng,Nagaland,562.00,2741239.00
Lower Dibang Valley,Arunachal Pradesh,3900.00,2741239.00
Lower Subansiri,Arunachal Pradesh,3508.00,2741239.00
Lucknow,Uttar Pradesh,2528.00,2741239.00
Ludhiana,Punjab,3578.00,2741239.00
Lunglei,Mizoram,4536.00,2741239.00
Madhepura,Bihar,1788.00,2741239.00
Madhubani,Bihar,3501.00,2741239.00
Madurai,Tamil Nadu,3710.00,2741239.00
Mahamaya Nagar,Uttar Pradesh,1840.00,2741239.00
Maharajganj,Uttar Pradesh,2952.00,2741239.00
Mahasamund,Chhattisgarh,4790.00,2741239.00
Mahbubnagar,Andhra Pradesh,18432.00,2741239.00
Mahe,Puducherry,9.00,2741239.00
Mahendragarh,Haryana,1899.00,2741239.00
Mahesana,Gujarat,4401.00,2741239.00
Mahoba,Uttar Pradesh,3144.00,2741239.00
Mainpuri,Uttar Pradesh,2760.00,2741239.00
Malappuram,Kerala,3554.00,2741239.00
Maldah,West Bengal,3733.00,2741239.00
Malkangiri,Orissa,5791.00,2741239.00
